"Target = [<Layer material:U 0.33 O 0.67 width:20000.0>, <Layer material:Si 0.33 O 0.67 width:100000.0>]"
"He @ 100.0-5000.0, for 1000000 ions"

Ion,Ion Energy,Total Damage,Damage_per_ion,depth max damage

He,100.0,5535,0.005535,840.0
He,200.0,6319,0.006319,1200.0
He,300.0,6713,0.006713,1320.0
He,400.0,6984,0.006984,1560.0
He,500.0,7192,0.007192,1680.0
He,600.0,7367,0.007367,1800.0
He,700.0,7504,0.007504,1920.0
He,800.0,7638,0.007638,1920.0
He,900.0,7664,0.007664,120.0
He,1000.0,1836,0.001836,120.0
He,1250.0,1227,0.001227,120.0
He,1500.0,928,0.000928,120.0
He,1750.0,757,0.000757,120.0
He,2000.0,643,0.000643,120.0
He,2500.0,503,0.000503,120.0
He,3000.0,413,0.000413,120.0
He,4000.0,313,0.000313,120.0
He,5000.0,255,0.000255,120.0
